Brand,Model
Apple,iPhone
Apple,iPhone3G
Apple,iPhone3GS
Apple,iPhone4
Apple,iPhone4s
Apple,iPhone5
Apple,iPhone5c
Apple,iPhone5s
Apple,iPhone6
Apple,iPhone6Plus
Apple,iPhone6s
Apple,iPhone6sPlus
Apple,iPhoneSE1stGen
Apple,iPhone7
Apple,iPhone7Plus
Apple,iPhone8
Apple,iPhone8Plus
Apple,iPhoneX
Apple,iPhoneXS
Apple,iPhoneXSMax
Apple,iPhoneXR
Apple,iPhone11
Apple,iPhone11Pro
Apple,iPhone11ProMax
Apple,iPhoneSE2ndGen
Apple,iPhone12
Apple,iPhone12Mini
Apple,iPhone12Pro
Apple,iPhone12ProMax
Apple,iPhone13
Apple,iPhone13Mini
Apple,iPhone13Pro
Apple,iPhone13ProMax
Apple,iPhoneSE3rdGen
Apple,iPhone14
Apple,iPhone14Plus
Apple,iPhone14Pro
Apple,iPhone14ProMax
Apple,iPhone15
Apple,iPhone15Plus
Apple,iPhone15Pro
Apple,iPhone15ProMax
Apple,iPhone16
Apple,iPhone16Plus
Apple,iPhone16Pro
Apple,iPhone16ProMax
Apple,iPhone16e
Samsung,GalaxyS20
Samsung,GalaxyS21
Samsung,GalaxyS22
Samsung,GalaxyA52
LG,Phoenix4
Google,Pixel4
Google,Pixel5
Google,Pixel6
Google,Pixel7
OnePlus,OnePlus8
OnePlus,OnePlus9
OnePlus,OnePlus10
Motorola,MotoGPower
Motorola,MotoGPlay
Nokia,NokiaG50
Nokia,Nokia8_3
